errorType,difficultyLevel,sentenceCorpus,correctAnswer
verb + to-infinitive,advanced,"I {trying} to use an electric fan, but it was just too hot to sleep last night.",tried
verb + to-infinitive,advanced,"We {trying} our best to figure it out, but the instructions were very confusing.",tried
verb + to-infinitive,advanced,"We {trying} to do our best, but sometimes we make mistakes.",try
verb + to-infinitive,beginner,I {starting} to say something.,started
verb + to-infinitive,beginner,I {starting} to cry.,started
verb + to-infinitive,beginner,They {starting} to laugh.,started
verb + to-infinitive,beginner,The racers {starting} to run.,started
verb + to-infinitive,beginner,The glass {starting} to fall.,started
verb + to-infinitive,beginner,The room {starting} to shake.,started
verb + to-infinitive,beginner,The band {starting} to play.,started
verb + to-infinitive,beginner,The presenter {starting} to speak.,started
verb + to-infinitive,beginner,The soldiers {starting} to shoot.,started
verb + to-infinitive,beginner,The dogs {starting} to fight.,started
verb + to-infinitive,intermediate,It {starting} to rain just as I walked outside.,started
verb + to-infinitive,intermediate,She {starting} to speak and the door flew open.,started
verb + to-infinitive,intermediate,I {starting} to clean out some closets but got distracted.,started
verb + to-infinitive,intermediate,I {starting} to write a book and then forgot all about it.,started
verb + to-infinitive,intermediate,I {starting} to apologize but she wouldn't listen.,started
verb + to-infinitive,intermediate,I grabbed her arm just as she {starting} to fall.,started
verb + to-infinitive,intermediate,"As soon as the movie ended, everyone {starting} to cry.",started
verb + to-infinitive,intermediate,The sun {starting} to rise and the animals began to move around.,started
verb + to-infinitive,intermediate,"She {starting} to protest, and then inexplicably, sat down again.",started
verb + to-infinitive,advanced,They were initially quite shy when they first {starting} to work together.,started
verb + to-infinitive,advanced,"Once it {starting} to rain, the traffic started to slow down to avoid accidents on the wet roads.",started
verb + to-infinitive,advanced,"The wind {starting} to blow from the southeast, bringing stinging rain with it.",started
verb + to-infinitive,advanced,"Before she {starting} to cook dinner, she waited until all the boys were home.",started
verb + to-infinitive,advanced,He {starting} to complain but his teacher just shook her head.,started
verb + to-infinitive,advanced,"Once she {starting} to become famous, it was difficult to go out without attracting photographers.",started
verb + to-infinitive,advanced,"She {starting} to glue the pieces back to together, but then realized it was hopeless.",started
verb + to-infinitive,advanced,"As soon as they heard the loudspeakers, the policemen {starting} to run toward the intersection.",started
verb + to-infinitive,advanced,He has {starting} to read several books at the same time but hasn't finished any yet.,started
verb + to-infinitive,beginner,I {liking} to sing.,like
verb + to-infinitive,beginner,She {liking} to play the guitar.,likes
verb + to-infinitive,beginner,They {liking} to play basketball in the afternoon.,like
verb + to-infinitive,beginner,He {liking} to sleep late on Sundays.,likes
verb + to-infinitive,beginner,We {liking} to go on vacation in the summer.,like
verb + to-infinitive,beginner,Birds {liking} to eat fruit.,like
verb + to-infinitive,beginner,How would you {liking} to pay?,like
verb + to-infinitive,beginner,Would you {liking} to come with us?,like
verb + to-infinitive,beginner,Where would you {liking} to live?,like
verb + to-infinitive,beginner,What would you {liking} to drink?,like
verb + to-infinitive,intermediate,I'd {liking} to make a donation to the campaign.,like
verb + to-infinitive,intermediate,She {liking} to volunteer at the orphanage.,likes
verb + to-infinitive,intermediate,He {liking} to take very long hot showers.,likes
verb + to-infinitive,intermediate,Teens these days often {liking} to spend hours on Facebook.,like
verb + to-infinitive,intermediate,I {liking} to finish all my work before dinner.,like
verb + to-infinitive,intermediate,Tourists often {liking} to eat sushi in Tsukiji.,like
verb + to-infinitive,intermediate,She {liking} to shop when she gets depressed.,likes
verb + to-infinitive,intermediate,He {liking} to find discount prices on brand goods.,likes
verb + to-infinitive,intermediate,We {liking} to take bus tours when we visit new cities.,like
verb + to-infinitive,intermediate,I'd {liking} to know where my car keys are.,like
verb + to-infinitive,advanced,I'd {liking} to be able to get all this cleaned up before my mother comes to visit.,like
verb + to-infinitive,advanced,That teacher {liking} to assign a lot of homework on the weekends.,likes
verb + to-infinitive,advanced,"On behalf of the committee, we would {liking} to present this award to Sandra for her great work.",like
verb + to-infinitive,advanced,We {liking} to watch people walking down the street in their colorful clothes.,like
verb + to-infinitive,advanced,She {liking} to sit on the terrace and watch the sunset when the weather is clear.,likes
verb + to-infinitive,advanced,I would really {liking} to join you but I am busy that night.,like
verb + to-infinitive,beginner,I {needing} to sleep.,need
verb + to-infinitive,beginner,I {needing} to go home.,need
verb + to-infinitive,beginner,I {needing} to find a ride.,need
verb + to-infinitive,beginner,I {needing} to buy a phone.,need
verb + to-infinitive,beginner,He {needing} to call his parents.,needs
verb + to-infinitive,beginner,She {needing} to use your phone.,needs
verb + to-infinitive,beginner,I {needing} to see a doctor.,need
verb + to-infinitive,beginner,I {needing} to get a job.,need
verb + to-infinitive,beginner,I {needing} to find my cat.,need
verb + to-infinitive,beginner,I {needing} to walk my dog.,need
verb + to-infinitive,intermediate,I {needing} to find out what this email means.,need
verb + to-infinitive,intermediate,We {needing} to make some decisions on what we will do this summer.,need
verb + to-infinitive,intermediate,I {needing} to go to the bank to check our account balance.,need
verb + to-infinitive,intermediate,I think I {needing} to lose a few more kilograms.,need
verb + to-infinitive,intermediate,I {needing} to eat something if you want me to think clearly.,need
verb + to-infinitive,intermediate,She {needing} to find a ride home tonight.,needs
verb + to-infinitive,intermediate,He {needing} to know how much the tuition will cost.,needs
verb + to-infinitive,intermediate,They {needing} to pool their money to buy flowers for their mother.,need
verb + to-infinitive,intermediate,The company {needing} to take a good look at their business practices.,needs
verb + to-infinitive,intermediate,I {needing} to sell some of these books before I can buy more.,need
verb + to-infinitive,advanced,What we really {needing} to do is to figure out the priorities first.,need
verb + to-infinitive,advanced,The movers {needing} to take an inventory before they could pack.,needed
verb + to-infinitive,advanced,We {needing} to get this invoice approved before it can be paid.,need
verb + to-infinitive,advanced,Most high school graduates {needing} a college degree if they want a good job.,need
verb + to-infinitive,advanced,"You {needing} to tell your doctor about any chest pains, or pains in your arm.",need
verb + to-infinitive,advanced,I don't {needing} you to tell me what to do.,need
verb + to-infinitive,advanced,Don't you {needing} to take these folders to your meeting?,need
verb + to-infinitive,advanced,Doesn't she {needing} to apply to more than one university?,need
verb + to-infinitive,advanced,We didn't {needing} to hear all about his medical complaints.,need
verb + to-infinitive,beginner,"I {learning,learnt} to speak Japanese.",learned
verb + to-infinitive,beginner,"She {learning,learnt} to speak English.",learned
verb + to-infinitive,beginner,"They {learning,learnt} to write in kanji.",learned
verb + to-infinitive,beginner,"We {learning,learnt} to dance.",learned
verb + to-infinitive,beginner,"The dog {learning,learnt} to sit.",learned
verb + to-infinitive,beginner,He is {learnt} to play the guitar.,learning
verb + to-infinitive,beginner,My mother is {learnt} to take it easy.,learning
verb + to-infinitive,beginner,"I {learning,learnt} to ride a horse this summer.",learned
verb + to-infinitive,beginner,She is {learnt} to drive.,learning
verb + to-infinitive,beginner,I am {learnt} to pace myself.,learning
verb + to-infinitive,intermediate,I am {learnt} to say no to things I don't want to do.,learning
verb + to-infinitive,intermediate,"{learning,learnt} to play the guitar seemed very easy for him.",Learning
verb + to-infinitive,intermediate,"We {learning,learnt} to trust our instincts and not other people's opinions.",learned
verb + to-infinitive,intermediate,"She {learning,learnt} to read when she was only three years old.",learned
verb + to-infinitive,intermediate,"{learning,learnt} to fly a plane is a long process.",Learning
verb + to-infinitive,intermediate,"After the disaster, she {learning,learnt} to live day by day.",learned
verb + to-infinitive,intermediate,"{learning,learnt} to compromise is sometimes a hard lesson.",Learning
verb + to-infinitive,intermediate,"I never {learning,learnt} to ski but I did learn to skate.",learned
verb + to-infinitive,advanced,"While growing up in Europe, she {learning,learnt} to speak several languages.",learned
verb + to-infinitive,advanced,"I never {learning,learnt} to speak Japanese well in spite of living here for many years.",learned
verb + to-infinitive,advanced,"Did you {learning,learnt} to drive a motorcycle here in Japan?",learn
verb + to-infinitive,advanced,"Didn't he {learning,learnt} to play the koto while she was in Japan?",learn
verb + to-infinitive,advanced,"Studies have shown that children who {learning,learnt} to read and write in pre-school do much better in life.",learn
verb + to-infinitive,advanced,"After weeks of practice, they finally {learning,learnt} to do it perfectly.",learned
verb + to-infinitive,advanced,"Mother always said I should {learning,learnt} to listen before I speak.",learn
verb + to-infinitive,beginner,"Don't {forgotten,forgetting} to write.",forget
verb + to-infinitive,beginner,"Don't {forgotten,forgetting} to call.",forget
verb + to-infinitive,beginner,"She {forgotten,forgetting} to write it down.",forgot
verb + to-infinitive,beginner,"He {forgotten,forgetting} to send in his tax form.",forgot
verb + to-infinitive,beginner,"We {forgotten,forgetting} to bring the birthday gift.",forgot
verb + to-infinitive,beginner,"I {forgotten,forgetting} to bring my umbrella.",forgot
verb + to-infinitive,beginner,"She {forgotten,forgetting} to take out the garbage.",forgot
verb + to-infinitive,beginner,"I {forgotten,forgetting} to buy milk.",forgot
verb + to-infinitive,beginner,"He {forgotten,forgetting} to lock the door.",forgot
verb + to-infinitive,beginner,"We {forgotten,forgetting} to close all the windows.",forgot
verb + to-infinitive,intermediate,"Every morning she tells me not to {forgotten,forgetting} my homework.",forget
verb + to-infinitive,intermediate,"If I {forgotten,forgetting} to call her, please remind me.",forget
verb + to-infinitive,intermediate,"Oh no! I {forgotten,forgetting} to wish him a happy birthday!",forgot
verb + to-infinitive,intermediate,"I {forgotten,forgetting} to set my alarm last night.",forgot
verb + to-infinitive,intermediate,"He {forgotten,forgetting} to write down the appointment date.",forgot
verb + to-infinitive,intermediate,"She {forgotten,forgetting} to take her umbrella and came home soaked.",forgot
verb + to-infinitive,intermediate,"How could you {forgotten,forgetting} to feed the cat?",forget
verb + to-infinitive,intermediate,"Did you {forgotten,forgetting} that I need to use the car today?",forget
verb + to-infinitive,intermediate,"He didn't {forgotten,forgetting} to bring her flowers for Mother's Day.",forget
verb + to-infinitive,advanced,"The campaign staff were reminding everyone not to {forgotten,forgetting} to vote.",forget
verb + to-infinitive,advanced,They were all the way at the beach before she realized she had {forgetting} to bring her bathing suit.,forgotten
verb + to-infinitive,advanced,"She was so worried about missing her train that she {forgotten,forgetting} to lock the door.",forgot
verb + to-infinitive,advanced,"Please don't {forgotten,forgetting} to take out the trash tonight because the garbage truck comes very early in the morning.",forget
verb + to-infinitive,advanced,He had {forgetting} to tell me that he used the credit card to pay for the tickets.,forgotten
verb + to-infinitive,advanced,"Did you {forgotten,forgetting} to submit the project by the deadline?",forget
verb + to-infinitive,advanced,"I am so glad you didn't {forgotten,forgetting} to bring the cake!",forget
verb + to-infinitive,advanced,"He {forgotten,forgetting} to walk the dog last night so now there is a big mess to clean.",forgot
verb + to-infinitive,advanced,"She {forgotten,forgetting} to bring her lunch so she was hungry and distracted all day.",forgot
verb + to-infinitive,advanced,"I do not want to {forgotten,forgetting} to call this woman back about the advertisement.",forget
verb + to-infinitive,beginner,They {planning} to go to Canada.,planned
verb + to-infinitive,beginner,He {planning} to study law.,plans
verb + to-infinitive,beginner,She {planning} to become a doctor.,plans
verb + to-infinitive,beginner,Let's {planning} to leave at 8.,plan
verb + to-infinitive,beginner,They {planning} to move this summer.,plan
verb + to-infinitive,beginner,He {planning} to kill the president.,planned
verb + to-infinitive,intermediate,He never {planning} to make such a mess of things.,planned
verb + to-infinitive,intermediate,He {planning} to call you once he got into town.,planned
verb + to-infinitive,intermediate,Is it difficult to {planning} to visit so many places on one holiday?,plan
verb + to-infinitive,intermediate,Please {planning} to call me when you get home.,plan
verb + to-infinitive,advanced,I {planning} to organize all the closets once the kids are home for their summer break.,plan
verb + to-infinitive,advanced,The company {planning} to offer a discount to seniors.,plans
verb + to-infinitive,advanced,It's a good idea to {planning} to pay off some of your debts before you try to buy a house.,plan
verb + to-infinitive,advanced,I am sorry to hear the bank {planning} to take legal action against the restaurant.,plans
verb + to-infinitive,beginner,I {loving} to sleep late on the weekend.,love
verb + to-infinitive,beginner,He {loving} to eat ice cream.,loves
verb + to-infinitive,beginner,We {loving} to watch action movies.,love
verb + to-infinitive,beginner,My friend {loving} to watch Korean dramas.,loves
verb + to-infinitive,beginner,Some people {loving} to go fishing.,love
verb + to-infinitive,beginner,He {loving} to lie in the sun.,loves
verb + to-infinitive,beginner,I would {loving} to come.,love
verb + to-infinitive,beginner,Dan {loving} to travel internationally.,loves
verb + to-infinitive,beginner,My cat {loving} to have his ears rubbed.,loves
verb + to-infinitive,beginner,I {loving} to shop.,love
verb + to-infinitive,intermediate,He {loving} to eat and drink until late in the night.,loves
verb + to-infinitive,intermediate,I {loving} to read all kinds of books.,love
verb + to-infinitive,intermediate,We would {loving} to join you for dinner.,love
verb + to-infinitive,intermediate,We {loving} to invite our friends over.,love
verb + to-infinitive,intermediate,I {loving} to listen to his deep and smooth voice.,love
verb + to-infinitive,intermediate,I would {loving} to live in a house like this one.,love
verb + to-infinitive,intermediate,She {loving} to go to flea markets.,loves
verb + to-infinitive,intermediate,The boys {loving} to play the Xbox on the weekends.,love
verb + to-infinitive,intermediate,I {loving} to listen to him play the guitar for me.,love
verb + to-infinitive,intermediate,I'd {loving} to come but I can't.,love
verb + to-infinitive,advanced,I {loving} to curl up with a good book on a rainy day.,love
verb + to-infinitive,advanced,We would {loving} to join you but we have another commitment that day.,love
verb + to-infinitive,advanced,My son {loving} to read travel books and dream about going to exotic places.,loves
verb + to-infinitive,advanced,We {loving} having dinner parties even though it is a lot of work.,love
verb + to-infinitive,advanced,I would {loving} to have the chance to work with your company.,love
verb + to-infinitive,advanced,People {loving} to gather under the cherry blossoms for lunch parties.,love
verb + to-infinitive,advanced,Japanese and Americans both {loving} to watch baseball games.,love
verb + to-infinitive,advanced,We {loving} to cheer for our favorite hockey team during the playoffs.,love
verb + to-infinitive,advanced,The spectators {loving} to bang plastic bats during the games.,love
verb + to-infinitive,beginner,I {hoping} to go to France one day.,hope
verb + to-infinitive,beginner,They {hoping} to marry soon.,hope
verb + to-infinitive,beginner,I {hoping} to graduate on time.,hope
verb + to-infinitive,beginner,She {hoping} to go to graduate school.,hopes
verb + to-infinitive,beginner,They {hoping} to find the missing watch.,hoped
verb + to-infinitive,beginner,I {hoping} to become a teacher.,hope
verb + to-infinitive,beginner,My son {hoping} to go to college.,hopes
verb + to-infinitive,beginner,I {hoping} to see you again.,hope
verb + to-infinitive,beginner,They had {hoping} to see you before you left.,hoped
verb + to-infinitive,beginner,I {hoping} to find a new apartment.,hope
verb + to-infinitive,intermediate,I {hoping} to be able to come.,hope
verb + to-infinitive,intermediate,I {hoping} to send out all the invitations by tonight.,hope
verb + to-infinitive,intermediate,Everyone {hoping} to avoid another mistake.,hoped
verb + to-infinitive,intermediate,The students {hoping} to raise money for their team.,hoped
verb + to-infinitive,intermediate,We had {hoping} to get started before dark.,hoped
verb + to-infinitive,intermediate,We {hoping} to meet at Whistler and go skiing together.,hope
verb + to-infinitive,intermediate,She {hoping} to get to bed early tonight.,hoped
verb + to-infinitive,intermediate,We {hoping} to finish this project by the deadline.,hoped
verb + to-infinitive,intermediate,She {hoping} to find a good job at the job fair.,hoped
verb + to-infinitive,advanced,I had {hoping} to get some sleep but the baby made too much noise.,hoped
verb + to-infinitive,advanced,We {hoping} to see that movie but I heard the tickets might be sold out.,hope
verb + to-infinitive,advanced,"I had {hoping} to lose some weight before summer, but I guess I didn't do enough exercise.",hoped
verb + to-infinitive,advanced,I don't know what you {hoping} to accomplish by doing that.,hope
verb + to-infinitive,advanced,She {hoping} to get some help carrying all these bags up the stairs.,hoped
verb + to-infinitive,advanced,The candidate {hoping} to get a seat in the next general election.,hoped
Gerunds,beginner,{Play} video games teaches goal strategies.,Playing
Gerunds,beginner,Many people enjoy {read}.,reading
Gerunds,beginner,{Wait} for a long time is hard.,Waiting
Gerunds,beginner,{Learn} can be fun.,Learning
Gerunds,beginner,{Ski} is a winter sport.,Skiing
Gerunds,beginner,{Go} to class is important.,Going
Gerunds,beginner,{Cheat} can get you into trouble.,Cheating
Gerunds,beginner,{Be} sick is an awful feeling.,Being
Gerunds,beginner,{Drive} is something I enjoy doing.,Driving
Gerunds,intermediate,I know that {attend} the lectures is important.,attending
Gerunds,intermediate,"When I'm sick, {cough} in class makes me feel very anxious.",coughing
Gerunds,intermediate,{Bully} is a significant social problem in Japan.,Bullying
Gerunds,intermediate,{Bake} brownies has been my specialty for a while now.,Baking
Gerunds,intermediate,{Type} quickly is something I've become very good at.,Typing
Gerunds,intermediate,{Speak} your own mind can be as important as listening.,Speaking
Gerunds,intermediate,"{Babysit} five, energetic children is very hard work.",Babysitting
Gerunds,intermediate,{Walk} alone at night makes me nervous.,Walking
Gerunds,intermediate,{Steal} often happens more in poverty stricken areas.,Stealing
Gerunds,intermediate,{Eat} is very important and meals should not be skipped.,Eating
Gerunds,advanced,{Manage} a business requires multiple skills and patience.,Managing
Gerunds,advanced,{Report} every step of your problem is important to ensure that you're doing the experiment right.,Reporting
Gerunds,advanced,The girls were {fight} for the right to attend school.,fighting
Gerunds,advanced,{Act} can be therapeutic because it gives you the experience of having different identities.,Acting
Gerunds,advanced,{Laugh} is very healthy so I try to do something every day that makes me laugh.,Laughing
Gerunds,advanced,{Skate} has been popular for both young and old people for many decades.,Skating
Gerunds,advanced,{Create} art can be a great outlet for stress.,Creating
Gerunds,advanced,Formal {write} is being taken over by informal communication such as texting and emailing.,writing
Gerunds,advanced,{Try} is what matters more than whether or not you succeed.,Trying
Gerunds,advanced,{Have} friends can make a big difference in how happy your life is.,Having
Gerunds,beginner,She could not stop {yawn}.,yawning
Gerunds,beginner,The girl didn't stop {walk}.,walking
Gerunds,beginner,She didn't stop {talk}.,talking
Gerunds,beginner,He didn't stop {work}.,working
Gerunds,beginner,Liam couldn't stop {laugh}.,laughing
Gerunds,beginner,Anna never stopped {smile}.,smiling
Gerunds,beginner,He couldn't stop {look} at her.,looking
Gerunds,beginner,She never stopped {love} him.,loving
Gerunds,beginner,My mom never stopped {knit}.,knitting
Gerunds,beginner,She finally stopped {walk} around the room.,walking
Gerunds,intermediate,"Although it was past his bedtime, he didn't stop {read}.",reading
Gerunds,intermediate,Why did they stop {play} music in the restaurant?,playing
Gerunds,intermediate,She stopped {teach} once she retired.,teaching
Gerunds,intermediate,He stopped {play} tennis when he injured his knee.,playing
Gerunds,intermediate,We can't go out if it doesn't stop {snow}.,snowing
Gerunds,intermediate,The child did not stop {cry} until his mother came.,crying
Gerunds,intermediate,Our dog is excitable but she stops {bark} when told to.,barking
Gerunds,intermediate,It's not raining anymore but they stopped {play} outside anyway.,playing
Gerunds,intermediate,"Once Jamie got his candy, he stopped {cry}.",crying
Gerunds,intermediate,Lena would not stop {talk} until her mother scolded her.,talking
Gerunds,advanced,"Ever since our uncle was killed by a shark, my brother stopped {dive}.",diving
Gerunds,advanced,Our professor stopped {talk} when he spotted a student sleeping in class.,talking
Gerunds,advanced,He loved play basketball but he stopped {play} after he graduated from college.,playing
Gerunds,advanced,Liam never stopped {try} to achieve his goal.,trying
Gerunds,advanced,"Because she was so shy, Tess always stopped {sing} whenever someone came into her room.",singing
Gerunds,beginner,He liked {talk} to her.,talking
Gerunds,beginner,She liked {eat} ice cream.,eating
Gerunds,beginner,He likes {read}.,reading
Gerunds,beginner,My mother likes {fish}.,fishing
Gerunds,beginner,My father likes {cook}.,cooking
Gerunds,beginner,Lina likes {collect} postcards.,collecting
Gerunds,beginner,Mia likes {pet} our new puppy.,petting
Gerunds,beginner,Diane likes {watch} movies on weekends.,watching
Gerunds,beginner,He likes {run} in the park.,running
Gerunds,beginner,She likes {eat} Japanese sweets.,eating
Gerunds,intermediate,He is very shy so he doesn't like {speak} in class.,speaking
Gerunds,intermediate,"For some reason, she likes {argue} with people.",arguing
Gerunds,intermediate,He likes {invite} people to social events.,inviting
Gerunds,intermediate,Wendy likes {exercise} but she gets tired very quickly.,exercising
Gerunds,intermediate,He likes {spend} money on unnecessary things.,spending
Gerunds,advanced,He likes {read} but because of his bad eyesight he cannot read for very long.,reading
Gerunds,advanced,He likes {stick} his nose in other people's business and gossiping about it.,sticking
Gerunds,advanced,Liz likes {take} care of our cat and often plays with him.,taking
Gerunds,advanced,She does not like {get} into trouble but often finds herself being interrogated by the teachers and being sent to the principal's office.,getting
Gerunds,advanced,It is admirable how he likes {work} hard and getting good results because of his perseverance and dedication.,working
Gerunds,beginner,He loves {read} comic books.,reading
Gerunds,beginner,My father loves {cook} on weekends.,cooking
Gerunds,beginner,He loved {walk} in the park.,walking
Gerunds,beginner,Mr. Jones loves {show} movies in class.,showing
Gerunds,beginner,My little brother loves {talk}.,talking
Gerunds,beginner,The teacher loves {pick} on me.,picking
Gerunds,beginner,The dog loves {play} with the children.,playing
Gerunds,beginner,She loves {get} a massage.,getting
Gerunds,beginner,Amanda loved {talk} to his friends.,talking
Gerunds,beginner,The puppy loves {eat} our leftovers.,eating
Gerunds,intermediate,My sister loves {act} and it is clearly her passion.,acting
Gerunds,intermediate,John always got in trouble because he loved {fight}.,fighting
Gerunds,intermediate,They loved {sing} during their free time.,singing
Gerunds,intermediate,Our son loves {catch} and examining bugs.,catching
Gerunds,intermediate,The mother loved {buy} presents for her children.,buying
Gerunds,advanced,Emily loves {contribute} in class and that makes her a very engaging student.,contributing
Gerunds,advanced,The King loved {throw} extravagant social events for his people.,throwing
Gerunds,advanced,The gorilla was surprisingly social and loved {come} out to interact with people.,coming
Gerunds,advanced,"The child had talent, and he loved {showcae} his singing and dancing abilities to the world.",showcasing
Gerunds,advanced,She loved {get} pampered by her boyfriend and having him shower her with presents.,getting
Gerunds,beginner,I enjoy {read}.,reading
Gerunds,beginner,I enjoy {play} basketball.,playing
Gerunds,beginner,I finished {watch} the movie.,watching
Gerunds,beginner,I finished {work} on my assignment.,working
Gerunds,beginner,Would you mind {get} me some water?,getting
Gerunds,beginner,Would you mind {pass} me the salad?,passing
Gerunds,beginner,I avoid {run} when it's snowing.,running
Gerunds,beginner,I avoid {speak} in front of people.,speaking
Gerunds,beginner,I gave up {play} soccer.,playing
Gerunds,beginner,I put off {do} my chores.,doing
Gerunds,intermediate,I enjoy {drink} a nice cup of warm tea.,drinking
Gerunds,intermediate,I enjoy {get} free things by going to certain events.,getting
Gerunds,intermediate,I finished {read} the Lord of the Rings series yesterday.,reading
Gerunds,intermediate,I finished {write} my senior thesis today.,writing
Gerunds,intermediate,I don't mind {get} more food.,getting
Gerunds,intermediate,Would you mind {let} me into the building?,letting
Gerunds,intermediate,I'm trying to avoid {get} caught for writing graffiti on the school walls.,getting
Gerunds,intermediate,I avoid {see} my friends from high school because they are immature.,seeing
Gerunds,intermediate,I gave up {talking} to Liz because she is so argumentative.,up talking
Gerunds,intermediate,I put off {doing} homework because I'm always very sleepy.,off doing
Gerunds,advanced,I enjoy {meet} new people and expanding my social circle.,meeting
Gerunds,advanced,I enjoy {get} praised for my work because that means people recognize my efforts.,getting
Gerunds,advanced,I finally finished {talk} to my girlfriend after five hours of arguing.,talking
Gerunds,advanced,"After I finished {interview} the homeless in NYC, I felt a great wave of guilt for previously avoiding them.",interviewing
Gerunds,advanced,I don't mind {help} you with your homework if you will help me later.,helping
Gerunds,advanced,Do you mind {get} the car started while I go get the kids?,getting
Gerunds,advanced,I avoid {get} into confrontations with people because it drains my energy.,getting
Gerunds,advanced,I avoid {see} my relatives when I come back home because they are extremely nosy.,seeing
Gerunds,advanced,I gave up {trying} to arrange a meeting with Megan since she always seems to be very busy.,up trying
Gerunds,advanced,I put off {working} on weekends because I want to do other things.,off working
Gerunds,beginner,Thanks for {come}.,coming
Gerunds,beginner,I use them for {run}.,running
Gerunds,beginner,He wants them for {hike}.,hiking
Gerunds,beginner,I need them for {study}.,studying
Gerunds,beginner,I apologize for {trouble} you.,troubling
Gerunds,beginner,I will use that for {travel}.,traveling
Gerunds,beginner,You should thank them for {wait}.,waiting
Gerunds,beginner,I gave her crayons for {draw}.,drawing
Gerunds,beginner,She needs new paint brushes for {paint}.,painting
Gerunds,beginner,The dog needs a leash for {walk}.,walking
Gerunds,intermediate,Big dogs are very good for {guard} the house.,guarding
Gerunds,intermediate,Petting animals is good for {relax} people under stress.,relaxing
Gerunds,intermediate,It's time for you to buy proper gear for {run}.,running
Gerunds,intermediate,Tess needs money for {fly} back to Paris.,flying
Gerunds,intermediate,Elsa wants new tools for {knit} a new scarf.,knitting
Gerunds,advanced,We carefully analyze every academic paper and follow certain guidelines for {decide} which paper to publish.,deciding
Gerunds,advanced,It is essential to use good evidence and examples for {persuade} your customers.,persuading
Gerunds,advanced,She scolded her son for {spend} too much time with his friends at his school because his grades had dropped drastically.,spending
Gerunds,advanced,She used her favorite notebook for note {take} in her favorite class.,take
Gerunds,advanced,She scolded her brother for {steal} his friend's idea and taking credit as if it were his own.,stealing
Gerunds,advanced,The police shut down the pet shop for {breed} puppies under inhumane conditions.,breeding
Gerunds,beginner,She was skilled in {paint}.,painting
Gerunds,beginner,She was interested in {study} animals.,studying
Gerunds,beginner,He was very skilled in {sing}.,singing
Gerunds,beginner,He greatly improved in {speak} Japanese.,speaking
Gerunds,intermediate,He succeeded in {find} a cure for cancer.,finding
Gerunds,intermediate,They made no progress in {help} the sick children.,helping
Gerunds,intermediate,"Although she was tall, she showed no interest in {play} volleyball.",playing
Gerunds,intermediate,He was very slow in {understand} the lesson.,understanding
Gerunds,advanced,"My father succeeded in {invent} a new, more eco-friendly form of public transportation.",inventing
Gerunds,advanced,She had no hesitation in {offend} some people in the room in order to make her point clear.,offending
Gerunds,advanced,My mother warned me that he was skilled in {manipulate} people.,manipulating
Gerunds,advanced,Lana has difficulty in {understand} material taught in class and may need special attention.,understanding
Gerunds,advanced,Ben is not interested in {do} business with us so we must stop pestering him.,doing
Gerunds,beginner,You must go on {read}.,reading
Gerunds,beginner,I didn't plan on {quit}.,quitting
Gerunds,beginner,He's very keen on {get} a puppy.,getting
Gerunds,beginner,We must keep on {go}.,going
Gerunds,beginner,He went on {talk} the entire night.,talking
Gerunds,intermediate,At the interview he kept on {ask} me questions.,asking
Gerunds,intermediate,She insisted on {move} out of the house last year.,moving
Gerunds,intermediate,Mina kept on {cry} until her mother came home.,crying
Gerunds,intermediate,She kept on {grow} taller until she was in her 20s.,growing
Gerunds,intermediate,They focused on {read} one book instead of read many.,reading
Gerunds,advanced,John knew that he and his wife Linda couldn't go on {argue} like this forever.,arguing
Gerunds,advanced,She went on {read} her book and ignored the commotion that was occurring around her.,reading
Gerunds,advanced,Ian's mother went on {complain} about her day until she realized he was no longer listening.,complaining
Gerunds,advanced,If we give up we will die so we must keep on {move} until we find shelter.,moving
Gerunds,advanced,"She insisted on {get} him medical attention, but the injured man just shrugged her off and kept walking.",getting
Gerunds,beginner,Are you good at {sing}?,singing
Gerunds,beginner,She is good at {write}.,writing
Gerunds,beginner,We are good at {act}.,acting
Gerunds,beginner,My mother is good at {cook}.,cooking
Gerunds,beginner,She is bad at {draw}.,drawing
Gerunds,intermediate,I'm very quick at {make} decisions.,making
Gerunds,intermediate,He is extremely good at {dance} and should stick to it.,dancing
Gerunds,intermediate,He's very good at {take} care of children.,taking
Gerunds,intermediate,She's bad at {play} the piano but amazingly good at singing.,playing
Gerunds,advanced,"Since he used to be a detective, he is skilled at {acquire} valuable information from different people.",acquiring
Gerunds,advanced,My grandmother was always wonderful at {tell} bedtime stories.,telling
Gerunds,advanced,She is brilliant at {design} and she already has a job after she graduates from college.,designing
Gerunds,advanced,She is very good at {teach} and she should be given much more credit than she receives.,teaching
Gerunds,advanced,"Mr. Henderson was amazingly good at {make} people laugh, and he will be truly missed.",making
Gerunds,beginner,I had a problem with {use} that computer.,using
Gerunds,beginner,Please help me with {make} this call.,making
Gerunds,beginner,We don't agree with {hit} children.,hitting
Gerunds,beginner,I am bored with {listen} to him talk.,listening
Gerunds,beginner,I am bored with {do} this assignment.,doing
Gerunds,intermediate,Her team was credited with {make} a difference.,making
Gerunds,intermediate,He was charged with {make} a false report.,making
Gerunds,intermediate,How does she combine exercising with {study}?,studying
Gerunds,intermediate,She was obsessed with {get} into her dream college.,getting
